Name,Age,Season,Placement,DaysIn,VotesAgainst,Immunities,IndImmunities,Challenges,VFB_NIF3,TCA_NIF3,TCTotal,TC_Prop,TC_Pct,TC_Score_Prop,TC_Score,Idols,Merge,Jury,Final_Tribal,RunnerUp,Winner,JuryVotes,Prop_Jury_Vote,Pct_Jury_Vote,Job,JobFixed,AppStatus,Applicant,Recruit,Collar,BlueCollar,WhiteCollar,Strength,Generation,Gender,AgeGroup
JP Calderon,30,13,17,11,7,2,0,2,1,2,17,0.5,50,0.058823529,5.8823529,0,0,0,0,0,0,.,.,.,VolleyballPro,36,0,0,1,2,0,0,3,3,1,3
Stephannie Favor,35,13,16,14,9,2,0,3,2,3,17,0.666666667,66.6666667,0.117647059,11.7647059,0,0,0,0,0,0,.,.,.,NursingStudent,41,1,1,0,1,0,1,1,3,0,3
CaoBoi Bui,42,13,15,15,6,4,0,6,1,2,17,0.5,50,0.058823529,5.8823529,0,0,0,0,0,0,.,.,.,NailSalonManager,21,1,1,0,3,1,0,1,2,1,4
Cristina Coria,35,13,14,15,5,2,0,3,3,4,17,0.75,75,0.176470588,17.6470588,0,0,0,0,0,0,.,.,.,PoliceOfficer,17,0,0,1,3,1,0,3,3,0,3
Jessica Smith,27,13,13,18,6,4,0,7,1,3,17,0.333333333,33.3333333,0.058823529,5.8823529,0,0,0,0,0,0,.,.,.,RollerGirl,36,0,0,1,2,0,0,3,3,0,2
Brad Virata,29,13,12,21,7,4,0,5,2,4,17,0.5,50,0.117647059,11.7647059,0,0,1,0,0,0,.,.,.,FashionDirector,4,0,0,1,2,0,0,2,3,1,2
Rebecca Borman,34,13,11,24,6,3,0,4,5,6,17,0.833333333,83.3333333,0.294117647,29.4117647,0,0,1,0,0,0,.,.,.,MakeUpArtist,4,1,1,0,2,0,0,2,3,0,3
Jenny Guzon Bae,36,13,10,24,6,4,0,5,5,6,17,0.833333333,83.3333333,0.294117647,29.4117647,0,0,1,0,0,0,.,.,.,RealEstateAgent,31,0,0,1,1,0,1,1,3,1,3
Nate Gonzalez,26,13,9,27,5,3,0,4,3,7,17,0.428571429,42.8571429,0.176470588,17.6470588,0,1,1,0,0,0,.,.,.,ShoeSalesman,33,0,0,1,2,0,0,3,3,0,2
Candice Woodcock,23,13,8,30,6,4,0,7,5,7,17,0.714285714,71.4285714,0.294117647,29.4117647,0,1,1,0,0,0,.,.,.,PreMedStudent,41,1,1,0,1,0,1,1,4,0,2
Jonathan Penner,44,13,7,33,15,4,0,7,8,9,17,0.888888889,88.8888889,0.470588235,47.0588235,0,1,1,0,0,0,.,.,.,Writer,20,0,0,1,2,0,0,1,2,1,4
Parvati Shallow,23,13,6,36,4,4,0,7,7,10,17,0.7,70,0.411764706,41.1764706,0,1,1,0,0,0,.,.,.,Boxer,36,0.5,0,0,2,0,0,2,2,0,2
Adam Gentry,28,13,5,37,5,5,1,6,7,11,17,0.636363636,63.6363636,0.411764706,41.1764706,0,1,1,0,0,0,.,.,.,CopierSales,33,0,0,1,2,0,0,2,3,1,2
Sundra Oakley,31,13,4,38,6,5,0,10,8,10,17,0.8,80,0.470588235,47.0588235,0,1,1,0,0,0,.,.,.,Actress,19,0,0,1,2,0,0,2,3,0,3
Becky Lee,28,13,3,39,5,6,0,11,9,9,17,1,100,0.529411765,52.9411765,0,1,0,1,1,0,0,0,0,Attorney,18,0,0,1,1,0,1,1,3,0,2
Ozzy Lusth,25,13,2,39,1,10,5,16,8,10,17,0.8,80,0.470588235,47.0588235,0,1,0,1,1,0,4,0.444444444,44.4444444,Waiter,15,1,1,0,2,0,0,3,4,1,2
Yul Kwon,31,13,1,39,5,6,0,12,9,9,17,1,100,0.529411765,52.9411765,1,1,0,1,0,1,5,0.555555556,55.5555556,ManagementConsultant,21,0,0,1,1,0,1,1,3,1,3
Jessica de Ben,27,14,19,3,6,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,.,.,.,FashionStylist,4,0,0,1,2,0,0,2,3,0,2
Erica Durousseau,27,14,18,6,6,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,.,.,.,NonProfitFundraiser,35,0,0,1,2,0,0,2,3,0,2
Sylvia Kwan,52,14,17,8,6,0,0,0,1,2,15,0.5,50,0.066666667,6.6666667,0,0,0,0,0,0,.,.,.,Architect,7,0,0,1,1,0,1,1,2,0,5
Gary Stritesky,55,14,16,10,0,3,0,5,.,0,15,.,.,.,.,0,0,0,0,0,0,.,.,.,SchoolBusDriver,39,1,1,0,3,1,0,3,2,1,5
Liliana Gomez,25,14,15,11,6,3,0,6,0,1,15,0,0,0,0,0,0,0,0,0,0,.,.,.,LoanOfficer,5,0,0,1,1,0,1,2,4,0,2
Rita Verreos,38,14,14,14,6,1,0,0,2,4,15,0.5,50,0.133333333,13.3333333,0,0,0,0,0,0,.,.,.,SingleMom,14,0,0,1,2,0,0,3,3,0,3
Anthony Robinson,32,14,13,16,10,1,0,0,3,5,15,0.6,60,0.2,20,0,0,0,0,0,0,.,.,.,ExpertWitnessLocator,6,0,0,1,1,0,1,1,3,1,3
Rocky Reid,28,14,12,19,5,1,0,1,3,6,15,0.5,50,0.2,20,0,0,1,0,0,0,.,.,.,Bartender,19,0,0,1,2,0,0,3,3,1,2
Lisi Linares,36,14,11,21,7,4,0,9,2,3,15,0.666666667,66.6666667,0.133333333,13.3333333,0,0,1,0,0,0,.,.,.,CustomerServiceRep,33,0,0,1,3,1,0,3,3,0,3
Michelle Yi,23,14,10,24,3,4,0,4,3,5,15,0.6,60,0.2,20,0,1,1,0,0,0,.,.,.,Student,41,0.5,0,0,1,0,1,1,4,0,2
Edgardo Rivera,28,14,9,27,5,4,0,10,4,5,15,0.8,80,0.266666667,26.6666667,1,1,1,0,0,0,.,.,.,AdExecutive,2,0,0,1,1,0,1,2,3,1,2
Mookie Lee,25,14,8,30,6,1,0,1,5,10,15,0.5,50,0.333333333,33.3333333,1,1,1,0,0,0,.,.,.,BusinessConsultant,5,0,0,1,1,0,1,2,4,1,2
Alex Angarita,28,14,7,33,9,4,0,10,6,8,15,0.75,75,0.4,40,1,1,1,0,0,0,.,.,.,Attorney,18,0,0,1,1,0,1,1,3,1,2
Stacy Kimball,27,14,6,36,4,8,1,15,5,6,15,0.833333333,83.3333333,0.333333333,33.3333333,0,1,1,0,0,0,.,.,.,WebProducer,8,0,0,1,1,0,1,3,3,0,2
Boo Bernis,34,14,5,37,5,9,2,17,3,6,15,0.5,50,0.2,20,0,1,1,0,0,0,.,.,.,ConstructionWorker,7,0.5,0,0,3,1,0,3,3,1,3
YauMan Chan,54,14,4,38,9,6,2,9,8,10,15,0.8,80,0.533333333,53.3333333,1,1,1,0,0,0,.,.,.,ComputerEngineer,8,0,0,1,1,0,1,1,2,1,5
Cassandra Franklin,42,14,2,39,5,7,0,14,5,7,15,0.714285714,71.4285714,0.333333333,33.3333333,0,1,0,1,1,0,0,0,0,CollegeAdministrator,1,0,0,1,1,0,1,1,3,0,4
Dreamz Herd,25,14,2,39,2,5,1,12,9,11,15,0.818181818,81.8181818,0.6,60,0,1,0,1,1,0,0,0,0,CheerleadingCoach,10,0,0,1,3,1,0,3,4,1,2
Earl Cole,35,14,1,39,1,4,0,6,8,9,15,0.888888889,88.8888889,0.533333333,53.3333333,1,1,0,1,0,1,9,1,100,AdExecutive,2,0,0,1,1,0,1,1,3,1,3
Chicken Morris,47,15,16,3,5,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,.,.,.,ChickenFarmer,3,1,1,0,3,1,0,3,2,1,4
Ashley Massaro,28,15,15,6,8,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,.,.,.,ProfessionalWrestler,36,0,0,1,2,0,0,3,3,0,2
Leslie Nease,38,15,14,9,6,2,0,3,0,1,13,0,0,0,0,0,0,0,0,0,0,.,.,.,ChristianRadioHost,19,1,1,0,2,0,0,1,3,0,3
Dave Cruser,37,15,13,12,6,1,0,2,1,3,13,0.333333333,33.3333333,0.076923077,7.6923077,0,0,0,0,0,0,.,.,.,Bartender,15,0,0,1,2,0,0,2,3,1,3
Aaron Reisberger,32,15,12,15,3,3,0,5,1,2,13,0.5,50,0.076923077,7.6923077,0,0,0,0,0,0,.,.,.,SurfingInstructor,10,0,0,1,2,0,0,2,3,1,3
Sherea Loyd,26,15,11,18,6,2,0,4,3,4,13,0.75,75,0.230769231,23.0769231,0,0,0,0,0,0,.,.,.,ElementaryTeacher,10,1,1,0,1,0,1,3,4,0,2
